anio,establecimiento,rbd,prueba,promedio
2025,"Colegio San Andres
Rama",22355-363,Historia,415.0
2025,"Colegio San Andres
Rama",22355-363,Ciencias,329.0
2025,"Colegio San Andres
Rama",22355-363,Obligatoria,463.8
2025,"Colegio De Adultos Pudeto
Rama",22485-363,Lenguaje,715.0
2025,"Colegio De Adultos Pudeto
Rama",22485-363,M1,767.0
2025,"Colegio De Adultos Pudeto
Rama",22485-363,M2,0.0
2025,"Colegio De Adultos Pudeto
Rama",22485-363,Historia,0.0
2025,"Colegio De Adultos Pudeto
Rama",22485-363,Ciencias,595.0
2025,"Colegio De Adultos Pudeto
Rama",22485-363,Obligatoria,741.0
2025,"Colegio Particular Cardenal Raul Silva Henriq
Rama",22495-310,Lenguaje,542.5
2025,"Colegio Particular Cardenal Raul Silva Henriq
Rama",22495-310,M1,547.0
2025,"Colegio Particular Cardenal Raul Silva Henriq
Rama",22495-310,M2,354.3
2025,"Colegio Particular Cardenal Raul Silva Henriq
Rama",22495-310,Historia,441.5
2025,"Colegio Particular Cardenal Raul Silva Henriq
Rama",22495-310,Ciencias,436.9
2025,"Colegio Particular Cardenal Raul Silva Henriq
Rama",22495-310,Obligatoria,546.8
2025,"Colegio De Adultos Bonilla
Rama",22624-363,Lenguaje,486.0
2025,"Colegio De Adultos Bonilla
Rama",22624-363,M1,496.0
2025,"Colegio De Adultos Bonilla
Rama",22624-363,M2,289.0
2025,"Colegio De Adultos Bonilla
Rama",22624-363,Historia,385.0
2025,"Colegio De Adultos Bonilla
Rama",22624-363,Ciencias,0.0
2025,"Colegio De Adultos Bonilla
Rama",22624-363,Obligatoria,491.0
2025,"Instituto Comercial De Valdivia
Rama",6751-463,Lenguaje,498.0
2025,"Instituto Comercial De Valdivia
Rama",6751-463,M1,491.5
2025,"Instituto Comercial De Valdivia
Rama",6751-463,M2,378.0
2025,"Instituto Comercial De Valdivia
Rama",6751-463,Historia,484.0
2025,"Instituto Comercial De Valdivia
Rama",6751-463,Ciencias,452.0
2025,"Instituto Comercial De Valdivia
Rama",6751-463,Obligatoria,494.8
2025,"Liceo Politecnico Pesquero
Rama",6853-810,Lenguaje,570.7
2025,"Liceo Politecnico Pesquero
Rama",6853-810,M1,585.6
2025,"Liceo Politecnico Pesquero
Rama",6853-810,M2,433.5
2025,"Liceo Politecnico Pesquero
Rama",6853-810,Historia,558.0
2025,"Liceo Politecnico Pesquero
Rama",6853-810,Ciencias,430.2
2025,"Liceo Politecnico Pesquero
Rama",6853-810,Obligatoria,578.1
2025,"Escuela Alberto Cordova Latorre
Rama",6916-363,Lenguaje,471.0
2025,"Escuela Alberto Cordova Latorre
Rama",6916-363,M1,362.0
2025,"Escuela Alberto Cordova Latorre
Rama",6916-363,M2,0.0
2025,"Escuela Alberto Cordova Latorre
Rama",6916-363,Historia,0.0
2025,"Escuela Alberto Cordova Latorre
Rama",6916-363,Ciencias,0.0
2025,"Escuela Alberto Cordova Latorre
Rama",6916-363,Obligatoria,416.5
2025,"Centro Educativo Fernando Santivan
Rama",7049-510,Lenguaje,451.6
2025,"Centro Educativo Fernando Santivan
Rama",7049-510,M1,466.8
2025,"Centro Educativo Fernando Santivan
Rama",7049-510,M2,300.7
2025,"Centro Educativo Fernando Santivan
Rama",7049-510,Historia,360.0
2025,"Centro Educativo Fernando Santivan
Rama",7049-510,Ciencias,387.0
2025,"Centro Educativo Fernando Santivan
Rama",7049-510,Obligatoria,465.4
2025,"Liceo Polivalente De Ancud
Rama",8044-510,Lenguaje,460.1
2025,"Liceo Polivalente De Ancud
Rama",8044-510,M1,508.4
2025,"Liceo Polivalente De Ancud
Rama",8044-510,M2,347.0
2025,"Liceo Polivalente De Ancud
Rama",8044-510,Historia,360.0
2025,"Liceo Polivalente De Ancud
Rama",8044-510,Ciencias,363.3
2025,"Liceo Polivalente De Ancud
Rama",8044-510,Obligatoria,488.9
2026,"Escuela De Adultos De Rio Bueno
Rama",11554-363,Lenguaje,477.0
2026,"Escuela De Adultos De Rio Bueno
Rama",11554-363,M1,508.0
2026,"Escuela De Adultos De Rio Bueno
Rama",11554-363,M2,0.0
2026,"Escuela De Adultos De Rio Bueno
Rama",11554-363,Historia,486.0
2026,"Escuela De Adultos De Rio Bueno
Rama",11554-363,Ciencias,402.0
2026,"Escuela De Adultos De Rio Bueno
Rama",11554-363,Obligatoria,492.5
2026,"Instituto Tecnico Profesional Llifen
Rama",11591-310,Lenguaje,573.1
2026,"Instituto Tecnico Profesional Llifen
Rama",11591-310,M1,543.4
2026,"Instituto Tecnico Profesional Llifen
Rama",11591-310,M2,388.0
2026,"Instituto Tecnico Profesional Llifen
Rama",11591-310,Historia,496.5
2026,"Instituto Tecnico Profesional Llifen
Rama",11591-310,Ciencias,380.0
2026,"Instituto Tecnico Profesional Llifen
Rama",11591-310,Obligatoria,558.3
2026,"Instituto Tecnico Profesional Llifen
Rama",11591-510,Lenguaje,487.8
2026,"Instituto Tecnico Profesional Llifen
Rama",11591-510,M1,493.5
2026,"Instituto Tecnico Profesional Llifen
Rama",11591-510,M2,399.3
2026,"Instituto Tecnico Profesional Llifen
Rama",11591-510,Historia,385.0
2026,"Instituto Tecnico Profesional Llifen
Rama",11591-510,Ciencias,370.0
2026,"Instituto Tecnico Profesional Llifen
Rama",11591-510,Obligatoria,492.1
2026,"Instituto Tecnico Profesional Llifen
Rama",11591-610,Lenguaje,513.0
2026,"Instituto Tecnico Profesional Llifen
Rama",11591-610,M1,521.1
2026,"Instituto Tecnico Profesional Llifen
Rama",11591-610,M2,389.1
2026,"Instituto Tecnico Profesional Llifen
Rama",11591-610,Historia,412.7
2026,"Instituto Tecnico Profesional Llifen
Rama",11591-610,Ciencias,388.2
2026,"Instituto Tecnico Profesional Llifen
Rama",11591-610,Obligatoria,519.2
2026,"Colegio Saint Thomas College
Rama",12183-310,Lenguaje,674.0
2026,"Colegio Saint Thomas College
Rama",12183-310,M1,732.4
2026,"Colegio Saint Thomas College
Rama",12183-310,M2,547.7
2026,"Colegio Saint Thomas College
Rama",12183-310,Historia,586.6
2026,"Colegio Saint Thomas College
Rama",12183-310,Ciencias,506.3
2026,"Colegio Saint Thomas College
Rama",12183-310,Obligatoria,710.0
2026,"Colegio Bicentenario Helvecia
Rama",12185-310,Lenguaje,600.9
2026,"Colegio Bicentenario Helvecia
Rama",12185-310,M1,588.6
2026,"Colegio Bicentenario Helvecia
Rama",12185-310,M2,422.4
2026,"Colegio Bicentenario Helvecia
Rama",12185-310,Historia,491.5
2026,"Colegio Bicentenario Helvecia
Rama",12185-310,Ciencias,438.1
2026,"Colegio Bicentenario Helvecia
Rama",12185-310,Obligatoria,601.4
2026,"Colegio Bicentenario Helvecia
Rama",12185-363,Lenguaje,485.7
2026,"Colegio Bicentenario Helvecia
Rama",12185-363,M1,470.8
2026,"Colegio Bicentenario Helvecia
Rama",12185-363,M2,0.0
2026,"Colegio Bicentenario Helvecia
Rama",12185-363,Historia,417.0
2026,"Colegio Bicentenario Helvecia
Rama",12185-363,Ciencias,392.3
2026,"Colegio Bicentenario Helvecia
Rama",12185-363,Obligatoria,481.3
2026,"Instituto Del Mar Bicentenario Capitan Williams
Rama",12192-510,Lenguaje,582.6
2026,"Instituto Del Mar Bicentenario Capitan Williams
Rama",12192-510,M1,596.0
2026,"Instituto Del Mar Bicentenario Capitan Williams
Rama",12192-510,M2,398.7
2026,"Instituto Del Mar Bicentenario Capitan Williams
Rama",12192-510,Historia,433.4
2026,"Instituto Del Mar Bicentenario Capitan Williams
Rama",12192-510,Ciencias,407.4
2026,"Instituto Del Mar Bicentenario Capitan Williams
Rama",12192-510,Obligatoria,589.3
2026,"Instituto Del Mar Bicentenario Capitan Williams
Rama",12192-610,Lenguaje,582.8
2026,"Instituto Del Mar Bicentenario Capitan Williams
Rama",12192-610,M1,473.8
2026,"Instituto Del Mar Bicentenario Capitan Williams
Rama",12192-610,M2,354.0
2026,"Instituto Del Mar Bicentenario Capitan Williams
Rama",12192-610,Historia,474.5
2026,"Instituto Del Mar Bicentenario Capitan Williams
Rama",12192-610,Ciencias,413.3
2026,"Instituto Del Mar Bicentenario Capitan Williams
Rama",12192-610,Obligatoria,528.3
2026,"Instituto Del Mar Bicentenario Capitan Williams
Rama",12192-810,Lenguaje,566.8
2026,"Instituto Del Mar Bicentenario Capitan Williams
Rama",12192-810,M1,538.8
2026,"Instituto Del Mar Bicentenario Capitan Williams
Rama",12192-810,M2,333.5
2026,"Instituto Del Mar Bicentenario Capitan Williams
Rama",12192-810,Historia,513.8
2026,"Instituto Del Mar Bicentenario Capitan Williams
Rama",12192-810,Ciencias,362.5
2026,"Instituto Del Mar Bicentenario Capitan Williams
Rama",12192-810,Obligatoria,547.9
2026,"Liceo Bicentenario De Excelencia Tecnico Profesiona
Rama",16843-510,Lenguaje,572.7
2026,"Liceo Bicentenario De Excelencia Tecnico Profesiona
Rama",16843-510,M1,598.5
2026,"Liceo Bicentenario De Excelencia Tecnico Profesiona
Rama",16843-510,M2,389.6
2026,"Liceo Bicentenario De Excelencia Tecnico Profesiona
Rama",16843-510,Historia,427.8
2026,"Liceo Bicentenario De Excelencia Tecnico Profesiona
Rama",16843-510,Ciencias,406.5
2026,"Liceo Bicentenario De Excelencia Tecnico Profesiona
Rama",16843-510,Obligatoria,587.3
2026,"Liceo Bicentenario De Excelencia Tecnico Profesiona
Rama",16843-610,Lenguaje,567.9
2026,"Liceo Bicentenario De Excelencia Tecnico Profesiona
Rama",16843-610,M1,590.4
2026,"Liceo Bicentenario De Excelencia Tecnico Profesiona
Rama",16843-610,M2,373.1
2026,"Liceo Bicentenario De Excelencia Tecnico Profesiona
Rama",16843-610,Historia,440.7
2026,"Liceo Bicentenario De Excelencia Tecnico Profesiona
Rama",16843-610,Ciencias,403.7
2026,"Liceo Bicentenario De Excelencia Tecnico Profesiona
Rama",16843-610,Obligatoria,581.7
2026,"Liceo Tecnico Profesional People Help People Pullin
Rama",16844-510,Lenguaje,532.2
2026,"Liceo Tecnico Profesional People Help People Pullin
Rama",16844-510,M1,575.7
2026,"Liceo Tecnico Profesional People Help People Pullin
Rama",16844-510,M2,376.8
2026,"Liceo Tecnico Profesional People Help People Pullin
Rama",16844-510,Historia,421.1
2026,"Liceo Tecnico Profesional People Help People Pullin
Rama",16844-510,Ciencias,402.9
2026,"Liceo Tecnico Profesional People Help People Pullin
Rama",16844-510,Obligatoria,554.4
2026,"Liceo Tecnico Profesional People Help People Pullin
Rama",16844-710,Lenguaje,510.0
2026,"Liceo Tecnico Profesional People Help People Pullin
Rama",16844-710,M1,525.7
2026,"Liceo Tecnico Profesional People Help People Pullin
Rama",16844-710,M2,404.6
2026,"Liceo Tecnico Profesional People Help People Pullin
Rama",16844-710,Historia,455.0
2026,"Liceo Tecnico Profesional People Help People Pullin
Rama",16844-710,Ciencias,405.3
2026,"Liceo Tecnico Profesional People Help People Pullin
Rama",16844-710,Obligatoria,517.8
2026,"Liceo Tecnico Profesional De Adultos Chiloe
Rama",16922-363,Lenguaje,560.7
2026,"Liceo Tecnico Profesional De Adultos Chiloe
Rama",16922-363,M1,549.3
2026,"Liceo Tecnico Profesional De Adultos Chiloe
Rama",16922-363,M2,418.3
2026,"Liceo Tecnico Profesional De Adultos Chiloe
Rama",16922-363,Historia,0.0
2026,"Liceo Tecnico Profesional De Adultos Chiloe
Rama",16922-363,Ciencias,365.3
2026,"Liceo Tecnico Profesional De Adultos Chiloe
Rama",16922-363,Obligatoria,555.0
2026,"Colegio Kopernikus
Rama",16978-310,Lenguaje,737.1
2026,"Colegio Kopernikus
Rama",16978-310,M1,784.0
2026,"Colegio Kopernikus
Rama",16978-310,M2,463.6
2026,"Colegio Kopernikus
Rama",16978-310,Historia,652.8
2026,"Colegio Kopernikus
Rama",16978-310,Ciencias,560.0
2026,"Colegio Kopernikus
Rama",16978-310,Obligatoria,764.5
2026,"Colegio Artistico Santa Cecilia
Rama",22007-310,Lenguaje,612.9
2026,"Colegio Artistico Santa Cecilia
Rama",22007-310,M1,630.4
2026,"Colegio Artistico Santa Cecilia
Rama",22007-310,M2,388.2
2026,"Colegio Artistico Santa Cecilia
Rama",22007-310,Historia,467.5
2026,"Colegio Artistico Santa Cecilia
Rama",22007-310,Ciencias,442.5
2026,"Colegio Artistico Santa Cecilia
Rama",22007-310,Obligatoria,620.9
2026,"Liceo Punta De Rieles
Rama",22012-410,Lenguaje,483.5
2026,"Liceo Punta De Rieles
Rama",22012-410,M1,500.8
2026,"Liceo Punta De Rieles
Rama",22012-410,M2,378.6
2026,"Liceo Punta De Rieles
Rama",22012-410,Historia,392.0
2026,"Liceo Punta De Rieles
Rama",22012-410,Ciencias,381.3
2026,"Liceo Punta De Rieles
Rama",22012-410,Obligatoria,492.9
2026,"Liceo Punta De Rieles
Rama",22012-710,Lenguaje,459.9
2026,"Liceo Punta De Rieles
Rama",22012-710,M1,470.3
2026,"Liceo Punta De Rieles
Rama",22012-710,M2,365.6
2026,"Liceo Punta De Rieles
Rama",22012-710,Historia,363.6
2026,"Liceo Punta De Rieles
Rama",22012-710,Ciencias,377.6
2026,"Liceo Punta De Rieles
Rama",22012-710,Obligatoria,465.1
2026,"Colegio Baquedano
Rama",22014-310,Lenguaje,582.8
2026,"Colegio Baquedano
Rama",22014-310,M1,593.3
2026,"Colegio Baquedano
Rama",22014-310,M2,375.9
2026,"Colegio Baquedano
Rama",22014-310,Historia,507.3
2026,"Colegio Baquedano
Rama",22014-310,Ciencias,441.9
2026,"Colegio Baquedano
Rama",22014-310,Obligatoria,590.3
2026,"Liceo Ignacio Carrera Pinto
Rama",22022-310,Lenguaje,608.6
2026,"Liceo Ignacio Carrera Pinto
Rama",22022-310,M1,595.2
2026,"Liceo Ignacio Carrera Pinto
Rama",22022-310,M2,406.1
2026,"Liceo Ignacio Carrera Pinto
Rama",22022-310,Historia,508.1
2026,"Liceo Ignacio Carrera Pinto
Rama",22022-310,Ciencias,439.7
2026,"Liceo Ignacio Carrera Pinto
Rama",22022-310,Obligatoria,601.9
2026,"Liceo Ignacio Carrera Pinto
Rama",22022-363,Lenguaje,522.5
2026,"Liceo Ignacio Carrera Pinto
Rama",22022-363,M1,524.0
2026,"Liceo Ignacio Carrera Pinto
Rama",22022-363,M2,384.3
2026,"Liceo Ignacio Carrera Pinto
Rama",22022-363,Historia,460.0
2026,"Liceo Ignacio Carrera Pinto
Rama",22022-363,Ciencias,366.5
2026,"Liceo Ignacio Carrera Pinto
Rama",22022-363,Obligatoria,523.3
2026,"Liceo Ignacio Carrera Pinto
Rama",22022-410,Lenguaje,558.8
2026,"Liceo Ignacio Carrera Pinto
Rama",22022-410,M1,539.7
2026,"Liceo Ignacio Carrera Pinto
Rama",22022-410,M2,386.2
2026,"Liceo Ignacio Carrera Pinto
Rama",22022-410,Historia,443.0
2026,"Liceo Ignacio Carrera Pinto
Rama",22022-410,Ciencias,409.0
2026,"Liceo Ignacio Carrera Pinto
Rama",22022-410,Obligatoria,540.4
2026,"Liceo Ignacio Carrera Pinto
Rama",22022-610,Lenguaje,508.1
2026,"Liceo Ignacio Carrera Pinto
Rama",22022-610,M1,505.4
2026,"Liceo Ignacio Carrera Pinto
Rama",22022-610,M2,382.0
2026,"Liceo Ignacio Carrera Pinto
Rama",22022-610,Historia,409.7
2026,"Liceo Ignacio Carrera Pinto
Rama",22022-610,Ciencias,367.5
2026,"Liceo Ignacio Carrera Pinto
Rama",22022-610,Obligatoria,506.7
2026,Liceo Tecnico Profesional Radio,22024-510,Lenguaje,710.0
2026,Liceo Tecnico Profesional Radio,22024-510,M1,699.0
2026,Liceo Tecnico Profesional Radio,22024-510,M2,0.0
2026,Liceo Tecnico Profesional Radio,22024-510,Historia,493.0
2026,Liceo Tecnico Profesional Radio,22024-510,Ciencias,0.0
2026,Liceo Tecnico Profesional Radio,22024-510,Obligatoria,704.5
2026,Liceo Tecnico Profesional Radio,22024-610,Lenguaje,485.7
2026,Liceo Tecnico Profesional Radio,22024-610,M1,504.3
2026,Liceo Tecnico Profesional Radio,22024-610,M2,349.0
2026,Liceo Tecnico Profesional Radio,22024-610,Historia,432.5
2026,Liceo Tecnico Profesional Radio,22024-610,Ciencias,388.3
2026,Liceo Tecnico Profesional Radio,22024-610,Obligatoria,495.0
2026,Liceo Tecnico Profesional Radio,22024-710,Lenguaje,472.0
2026,Liceo Tecnico Profesional Radio,22024-710,M1,475.7
2026,Liceo Tecnico Profesional Radio,22024-710,M2,0.0
2026,Liceo Tecnico Profesional Radio,22024-710,Historia,406.0
2026,Liceo Tecnico Profesional Radio,22024-710,Ciencias,401.0
2026,Liceo Tecnico Profesional Radio,22024-710,Obligatoria,473.8
2026,"Liceo Hornopiren
Rama",22027-310,Lenguaje,567.9
2026,"Liceo Hornopiren
Rama",22027-310,M1,573.7
2026,"Liceo Hornopiren
Rama",22027-310,M2,383.9
2026,"Liceo Hornopiren
Rama",22027-310,Historia,455.1
2026,"Liceo Hornopiren
Rama",22027-310,Ciencias,397.7
2026,"Liceo Hornopiren
Rama",22027-310,Obligatoria,570.8
2026,"Liceo Hornopiren
Rama",22027-610,Lenguaje,479.0
2026,"Liceo Hornopiren
Rama",22027-610,M1,482.0
2026,"Liceo Hornopiren
Rama",22027-610,M2,385.0
2026,"Liceo Hornopiren
Rama",22027-610,Historia,408.5
2026,"Liceo Hornopiren
Rama",22027-610,Ciencias,370.4
2026,"Liceo Hornopiren
Rama",22027-610,Obligatoria,481.5
2026,"Liceo Hornopiren
Rama",22027-810,Lenguaje,524.6
2026,"Liceo Hornopiren
Rama",22027-810,M1,590.6
2026,"Liceo Hornopiren
Rama",22027-810,M2,359.3
2026,"Liceo Hornopiren
Rama",22027-810,Historia,414.5
2026,"Liceo Hornopiren
Rama",22027-810,Ciencias,391.0
2026,"Liceo Hornopiren
Rama",22027-810,Obligatoria,557.6
2026,"Colegio Star College
Rama",22029-310,Lenguaje,643.3
2026,"Colegio Star College
Rama",22029-310,M1,709.3
2026,"Colegio Star College
Rama",22029-310,M2,500.0
2026,"Colegio Star College
Rama",22029-310,Historia,527.2
2026,"Colegio Star College
Rama",22029-310,Ciencias,518.5
2026,"Colegio Star College
Rama",22029-310,Obligatoria,676.3
2026,"Colegio San Francisco De Asis
Rama",22065-310,Lenguaje,584.4
2026,"Colegio San Francisco De Asis
Rama",22065-310,M1,616.3
2026,"Colegio San Francisco De Asis
Rama",22065-310,M2,391.6
2026,"Colegio San Francisco De Asis
Rama",22065-310,Historia,462.0
2026,"Colegio San Francisco De Asis
Rama",22065-310,Ciencias,444.7
2026,"Colegio San Francisco De Asis
Rama",22065-310,Obligatoria,600.3
2026,"Centro De Educacion De Adultos Paulo Freire
Rama",22066-363,Lenguaje,528.5
2026,"Centro De Educacion De Adultos Paulo Freire
Rama",22066-363,M1,436.0
2026,"Centro De Educacion De Adultos Paulo Freire
Rama",22066-363,M2,330.0
2026,"Centro De Educacion De Adultos Paulo Freire
Rama",22066-363,Historia,418.0
2026,"Centro De Educacion De Adultos Paulo Freire
Rama",22066-363,Ciencias,346.0
2026,"Centro De Educacion De Adultos Paulo Freire
Rama",22066-363,Obligatoria,482.3
2026,"Colegio Almirante Juan Jose Latorre
Rama",22083-310,Lenguaje,599.7
2026,"Colegio Almirante Juan Jose Latorre
Rama",22083-310,M1,599.1
2026,"Colegio Almirante Juan Jose Latorre
Rama",22083-310,M2,471.7
2026,"Colegio Almirante Juan Jose Latorre
Rama",22083-310,Historia,477.7
2026,"Colegio Almirante Juan Jose Latorre
Rama",22083-310,Ciencias,475.3
2026,"Colegio Almirante Juan Jose Latorre
Rama",22083-310,Obligatoria,599.4
2026,C,22089-363,Lenguaje,502.8
2026,C,22089-363,M1,554.3
2026,C,22089-363,M2,0.0
2026,C,22089-363,Historia,479.0
2026,C,22089-363,Ciencias,458.0
2026,C,22089-363,Obligatoria,528.5
2026,"Liceo Premilitar Héroes De La Concepción
Rama",22114-310,Lenguaje,538.2
2026,"Liceo Premilitar Héroes De La Concepción
Rama",22114-310,M1,541.6
2026,"Liceo Premilitar Héroes De La Concepción
Rama",22114-310,M2,360.0
2026,"Liceo Premilitar Héroes De La Concepción
Rama",22114-310,Historia,462.5
2026,"Liceo Premilitar Héroes De La Concepción
Rama",22114-310,Ciencias,398.8
2026,"Liceo Premilitar Héroes De La Concepción
Rama",22114-310,Obligatoria,540.8
2026,"Liceo Bicentenario Ingeniero Ricardo Fenner Ruedi
Rama",22140-510,Lenguaje,547.7
2026,"Liceo Bicentenario Ingeniero Ricardo Fenner Ruedi
Rama",22140-510,M1,585.4
2026,"Liceo Bicentenario Ingeniero Ricardo Fenner Ruedi
Rama",22140-510,M2,374.9
2026,"Liceo Bicentenario Ingeniero Ricardo Fenner Ruedi
Rama",22140-510,Historia,434.3
2026,"Liceo Bicentenario Ingeniero Ricardo Fenner Ruedi
Rama",22140-510,Ciencias,413.3
2026,"Liceo Bicentenario Ingeniero Ricardo Fenner Ruedi
Rama",22140-510,Obligatoria,567.3
2026,"Colegio Abraham Lincoln
Rama",22146-363,Lenguaje,508.8
2026,"Colegio Abraham Lincoln
Rama",22146-363,M1,552.0
2026,"Colegio Abraham Lincoln
Rama",22146-363,M2,414.0
2026,"Colegio Abraham Lincoln
Rama",22146-363,Historia,566.3
2026,"Colegio Abraham Lincoln
Rama",22146-363,Ciencias,439.7
2026,"Colegio Abraham Lincoln
Rama",22146-363,Obligatoria,530.4
